章,機能,機能説明,場面説明,対象人物,本文要約
1,1.欠如,主人公や世界に不足・欠けが発生している状態。,下人が羅生門で雨やみをしている場面,下人,下人は職を失っており、羅生門で雨やみをしている。
1,8.悪行または欠如,社会または主人公に欠けているもの・損失・衰退が示され、物語の問題が立ち上がる,都と門が荒廃し人々が寄り付かなくなった状況が語られる,京都（社会全体）,京都は災害と荒廃により正常な生活基盤を失っており社会全体が欠如と破綻の状態にある。
1,2.禁止,登場人物に対してしてはならない行動や避けるべき場所などの禁忌が与えられる,夜の羅生門は気味が悪く誰も近づかないという社会的禁忌が説明される,京都の人々,荒廃した羅生門には死体が捨てられ狐狸や盗人が棲みついているため夜になると誰も近づかないという暗黙の禁止が成立している。
1,3.禁止の破り,登場人物が与えられた禁止や禁忌警告を破る,禁忌とされる羅生門の上段に下人が腰を下ろし雨宿りをする場面,下人,人々が恐れて近づかない羅生門に下人は一人で入り込み石段の最上段に座って雨を眺めている。
2,1.欠如／8.悪行または欠如,主人公や世界に欠けが生じている状態であり主人公に重大な欠如が発生し問題が顕在化する,下人が主人に暇を出され行き場も生活手段もなく雨の中で明日どう生きるかを迷い続けている場面,下人,下人は主人から暇を出され行く場所も生活手段もなくしてしまった。京都の衰微も背景にあり下人の境遇には深刻な欠如が生じている。
2,9.仲介・連鎖,欠如や被害が認識されそれに対して主人公が行動を起こす必要性が生まれる段階,どうにもならない暮らしをどうにかするため思索を重ね盗人になるしかないという結論の直前に至る場面,下人,下人は自分が飢え死にする可能性を自覚し貧困という欠如に対して行動を起こさねばならないと強く認識し始める。
2,10.対抗行動の始まり,主人公が問題や欠如を解決しようと実際に行動を起こし始める段階,手段を選んでいては飢え死にすると自分に言い聞かせ盗人になる決意へ近づいていく場面,下人,生活の危機に追い詰められた下人は盗人になるしかないという方向へ志向が固まり欠如解消のための行動に踏み出す直前にある。
3,8.欠如,主人公に不足や欠乏がありそれが行動の動機となる,下人が雨風をしのぎ安心して眠れる場所を求めて羅生門を見回す場面,下人,雨の夜を過ごす場所がない下人は雨風を避けるための寝場所を探している。
3,11.出発・移動,主人公が行動を開始し新たな場所へ移動する,下人が楼上で夜を明かそうと決め梯子を登り始める場面,下人,安全な場所を求めた下人は楼上へ向かって梯子を登り始める。
3,4.偵察,敵対者や不明な存在の行動を探るまたは観察される機能,梯子の途中で不審な灯火に気づき下人が息を潜めて上の様子を窺う場面,下人（偵察する側）／楼上の人物（偵察される側）,楼上で明かりを動かしている誰かがいると気づいた下人は身を縮めて慎重に様子を探る。
3,5.情報の入手・発見,偵察の結果主人公が不審な存在や重要な情報を発見する,下人が梯子を上り切り楼内を覗いて生きた人物が火を灯していることを確認する場面,下人（偵察側）／楼上の人物（発見される側）,下人は楼内を覗きこみ不審な人物が火を灯して動いている事実を確認しその存在を確かに発見する。
4,5.発見,主人公が重要な存在や状況を発見し物語が次の段階へ進む,下人が楼の内でいくつかの死骸を発見する場面,下人（発見する側）／死骸（発見される側）,下人は裸の死骸や着物を着た死骸を楼の内で見つける。
4,5.発見,主人公が重要な存在や状況を発見し物語が次の段階へ進む,下人が死骸の中にうずくまり髪の毛を抜いている老婆の存在に気づく場面,下人（発見する側）／老婆（発見される側）,下人は死骸の間にしゃがみ込み火を持って死骸の髪を抜いている老婆を見つけその異様な行為に戦慄する。
4,8.悪事,悪役によって悪の行為が示され主人公が行動を起こす契機となる,老婆が死骸の髪を一本ずつ抜き取る行為を下人が許されない悪として認識する場面,老婆（悪事を行う存在）／下人（それを目撃し反応する存在）,老婆は死骸から髪を抜き続け下人は恐怖よりも怒りと憎悪を強め悪を許すまいとする気持ちが高まっていく。
4,16.闘争,主人公と敵対者が直接的に衝突し争う段階,下人が老婆に飛びかかり逃げようとする老婆を追い詰めてつかみ合いになる場面,下人（主人公）／老婆（敵対者）,下人は怒りのまま老婆を追い込み逃げようとする老婆と死骸の中でつかみ合う。
4,17.勝利,主人公が敵対者に勝利し相手を制圧する場面,下人が老婆の腕をつかみ完全に行動を封じて抑え込む場面,下人（勝者）／老婆（敗北する側）,下人は老婆を押し倒して動きを封じ太刀を抜いて脅し老婆の命を握っていることを自覚する。
4,5.情報の入手,主人公が相手から事情を聞き出し事実や動機に迫る機能,下人が太刀を突きつけ死骸の髪を抜いていた理由を話すよう老婆に迫る場面,下人（尋問する側）／老婆（尋問される側）,下人は老婆の命を左右できる立場を自覚しなぜ死骸の髪を抜いていたのか話すよう迫り老婆は恐怖に震えながら声を絞り出し始める。
5,5.情報の入手,登場人物が相手から事情や動機や過去の行為についての情報を得る機能,老婆が死骸の髪を抜いていた理由を語り始める場面,下人（情報を得る側）／老婆（情報を与える側）,老婆は死骸の髪を抜いて鬘にしようとしていたのだと説明する。
5,6.欺き,登場人物が自らの行為を正当化する語りによって相手の判断を誤らせようとする機能,老婆が死人たちは皆悪人だった自分も飢死を避けるため仕方なくやったと語る場面,老婆→下人,老婆は生前の死骸の女の悪行を持ち出し自分の行為も不可避だったと主張する。
5,7.共犯,犠牲者が相手の論理を受け入れ結果的にその価値観に同調する機能,老婆の話を聞くうちに下人の内面に勇気が生まれる場面,下人,下人は老婆の飢えの論理を理解し自らも同じ論理で行動できると認識する。
5,8.悪行,登場人物が他者に害を与える行為に踏み出し物語的な悪が現実化する機能,下人が引剥をしても恨むまいなと宣言する場面,下人→老婆,下人は自分も飢死を避けるために盗みを働くと明言し害意を明確にする。
5,8.悪行（継続）,害悪が実際の暴力や犯罪行為として実行される段階,下人が老婆の着物を剥ぎ取り蹴倒す場面,下人→老婆,下人は老婆から着物を奪い力ずくで無力化する。
5,11.出発,登場人物が元の場所を離れ新たな生の局面へ踏み出す機能,下人が着物を抱え梯子を下り闇の中へ去る場面,下人,下人は羅生門を離れ盗人としての道を歩み始める。
5,29.罰（象徴）,悪行の結果として誰かが罰的状態に置かれる機能,老婆が裸のまま取り残され闇を覗き込む場面,老婆,老婆は着物を奪われ孤独と寒さの中に放置される。
5,31.栄誉・即位（反転）,本来は英雄の栄光を示す機能が反英雄的に反転して用いられる,下人の行方は誰も知らないと語られ物語が閉じられる場面,下人,下人は裁かれも救われもせず名も行方も不明のまま社会の外部へ放たれる。
