章,機能,機能説明,場面説明,対象人物,本文要約
1,8.悪事または欠如,社会秩序を乱す出来事（犯罪・死・不幸）が存在することが示される機能。,藪の中で武士の死骸を発見する場面。,木樵／死んだ武士,木樵は山仕事の途中、胸を刺されて倒れている武士の死体を見つける。
1,9.仲介（出来事の認知・通報）,事件が第三者に認識され、物語世界に共有される機能。,検非違使に対して、死骸を発見した経緯と場所を説明する場面。,木樵／検非違使,木樵は、事件の第一発見者として事実を役人に伝える。
1,7.悪事（結果の描写）,犯行の痕跡や被害の具体性が提示される機能。,胸の刺し傷、血の跡、馬蠅がたかっている様子を語る場面。,死んだ武士,武士は胸を刺されて殺害され、現場には争いの痕跡が残っている。
1,9.仲介（証拠の提示）,事件理解の手がかりとなる情報が提示される機能。,縄と櫛が現場に落ちていたことを証言する場面。,木樵,木樵は、死体のそばに縄と櫛があったことを証言し、事件の謎を深める。
1,13.弁明（自己防衛的語り）,語り手が自らの関与を否定し、潔白を示そうとする機能。,武士が殺される前に激しく抵抗したらしい、と推測する場面。,木樵,木樵は自分が事件に関与していないことを暗に示し、状況説明に徹する。
1,15.反応,出来事に対する評価・判断・補足が語られる機能。,「馬は入れない場所だ」と断言する場面。,木樵,木樵は現場の地理的条件を説明し、事件像を限定しようとする。
2,4.偵察（情報の把握）,物語上の出来事に関わる人物の存在・状態・状況が、のちの事件の前段として把握される機能。,通行人が、のちに死骸となる男と、その同行の女を事件前日に目撃している場面。,通行人（旅の沙門）,通行人は、事件前日の昼ごろ、関山から山科へ向かう途中で、男と馬に乗った女を見かけたことを証言する。
2,5.仲介（情報の伝達）,事件に関する重要な情報が、第三者によって権力者・聞き手に伝えられる機能。,男の外見・武装・同行者について、検非違使の問いに詳細に答える場面。,通行人（旅の沙門）,男が太刀と弓矢を携え、黒塗りの箙に多くの矢を入れていたこと、女が顔を隠していたことなどを具体的に語る。
2,8.加害（欠如・不幸の予告）,直接の犯罪行為ではないが、これから起こる悲劇を暗示し、物語の不幸性を強調する機能。,「人間の命なぞは、如露亦如電」という無常観を述べる場面。,通行人（旅の沙門）,通行人は、あの男が死ぬとは夢にも思わなかったと述べ、人の命のはかなさを嘆く。
2,25.認知（事実の整理）,事件の前後関係が整理され、聞き手が物語全体を構成するための材料が与えられる機能。,証言の最後で、出来事を振り返り、気の毒さを語る場面。,通行人（旅の沙門）,通行人は、自分の見た事実を語り終え、事件の悲惨さを改めて強調する。
